name,populationFemale,populationMale,populationUrban,adultLiteracy,educationExpenditure,gILGenderEquality,maternalMortalityRate,educationIndex,healthIndex,humanDevelopmentIndex,healthExpendature,lifeExpectancy,carbonDioxideInTons,endangeredSpeciesPercent,forrestAreaInThousandsOfHectares
Czech Republic,"5,363.35","5,170.94",73.6,,,0.136,8,0.924,0.91,0.865,5.8,77.7,11.3,5,"2,653"
Côte d'Ivoire,"9,894.21","10,258.69",51.3,55.3,,0.655,470,0.304,0.558,0.4,1,55.4,0.3,7,"10,404"
Denmark,"2,808.92","2,763.68",87.1,,,0.06,5,0.924,0.928,0.895,8.2,78.8,8.4,6,540
Djibouti,452.54,453.02,76.3,,,,300,0.294,0.598,0.43,5.5,57.9,0.6,9,6
Dominica,,,67.4,,,,,0.67,0.907,0.724,3.9,77.5,1.9,9,45
Dominican Republic,"5,012.98","5,043.20",69.8,,2.3,0.48,100,0.616,0.842,0.689,1.9,73.4,2.2,17,"1,972"
Ecuador,"7,322.33","7,343.73",67.6,84.2,,0.469,140,0.686,0.877,0.72,2.3,75.6,2,12,"10,260"
Egypt,"41,095.04","41,441.73",43.5,,,,82,0.56,0.84,0.644,2.4,73.2,2.6,10,69
El Salvador,"3,272.49","2,955.00",64.8,84.1,,0.487,110,0.637,0.823,0.674,3.6,72.2,1,3,296
Equatorial Guinea,351.15,369.06,39.9,93.3,,,280,0.427,0.49,0.537,1.7,51.1,7.3,6,"1,650"
Eritrea,"2,746.32","2,668.96",22.1,66.6,,,280,0.271,0.656,0.349,1.5,61.6,0.1,8,"1,541"
Estonia,722.4,618.14,69.5,99.8,,0.194,12,0.916,0.865,0.835,4.1,74.8,13.6,3,"2,231"
Ethiopia,"42,562.21","42,172.05",16.8,,,,470,0.237,0.619,0.363,2.2,59.3,0.1,7,"12,578"
Fiji,425.33,443.08,52.3,,,,26,0.786,0.777,0.688,2.8,69.2,1.5,15,"1,007"
Finland,"2,741.25","2,643.52",85.4,,,0.075,8,0.877,0.946,0.882,6.1,80,10.7,4,"22,157"
France,"32,400.97","30,724.92",85.9,,,0.106,8,0.87,0.971,0.884,8.7,81.5,6.1,14,"15,858"
Gabon,764.5,769.76,86.4,87.7,,0.509,260,0.66,0.674,0.674,3,62.7,1.7,6,"22,000"
Gambia,899.23,876.88,58.9,46.5,,0.61,400,0.334,0.607,0.42,2.6,58.5,0.3,4,476
Georgia,"2,290.47","2,038.56",52.8,99.7,3.2,0.418,48,0.839,0.848,0.733,1.5,73.7,1.2,9,"2,747"
Germany,"41,869.52","40,292.99",74,,,0.085,7,0.928,0.953,0.905,8,80.4,9.6,9,"11,076"
Ghana,"12,264.38","12,701.44",52.2,66.6,,0.598,350,0.574,0.698,0.541,4.3,64.2,0.4,5,"5,171"
Greece,"5,753.25","5,636.78",61.7,97.2,,0.162,2,0.861,0.945,0.861,5.8,79.9,8.8,16,"3,843"
Grenada,52.42,52.47,39.7,,,,,0.779,0.883,0.748,3.6,76,2.4,10,17
Guatemala,"7,564.44","7,192.88",49.9,74.5,,0.542,110,0.438,0.807,0.574,2.1,71.2,0.9,8,"3,769"
Guinea,"5,056.28","5,165.53",35.9,39.5,,,680,0.246,0.538,0.344,0.6,54.1,0.1,8,"6,616"
Guinea-Bissau,780.27,766.79,30.2,52.2,,,"1,000",0.302,0.444,0.353,1.6,48.1,0.2,5,"2,042"
Guyana,376.39,379.65,28.7,,,0.511,270,0.65,0.787,0.633,7.2,69.9,2,3,"15,205"
Haiti,"5,101.95","5,021.84",53.6,,,0.599,300,0.406,0.664,0.454,1.2,62.1,0.3,19,103
Honduras,"3,878.11","3,876.58",52.2,,,0.511,110,0.574,0.838,0.625,4.1,73.1,1.2,7,"5,432"
Hong Kong,"3,750.29","3,371.89",100,,4.5,,,0.837,0.99,0.898,,82.8,5.5,9,
Hungary,"5,233.87","4,732.25",68.5,99.4,,0.237,13,0.866,0.858,0.816,5.2,74.4,5.5,8,"2,011"
Iceland,160.97,163.4,93.5,,,0.099,5,0.912,0.975,0.898,7.7,81.8,7.1,9,28
India,"600,477.34","641,014.62",30.3,,,0.617,230,0.45,0.717,0.547,1.1,65.4,1.5,13,"68,144"
Indonesia,"121,506.68","120,818.96",44.6,,,0.505,240,0.584,0.779,0.617,1.2,69.4,1.8,16,"95,802"
Iran,"36,865.93","37,932.67",71.3,,4.7,0.485,30,0.64,0.836,0.707,3,73,7.3,9,"11,075"
Iraq,"16,272.07","16,392.88",66.1,78.1,,0.579,75,0.491,0.774,0.573,1.9,69,3.4,9,825
Ireland,"2,260.62","2,265.19",62.3,,,0.203,3,0.963,0.955,0.908,6.1,80.6,9.8,7,721
Israel,"3,829.22","3,732.98",91.9,,,0.145,7,0.907,0.972,0.888,4.5,81.6,5.4,12,154
Italy,"31,024.34","29,764.36",68.6,98.9,,0.124,5,0.856,0.976,0.874,6.7,81.9,7.5,14,"8,993"
Jamaica,"1,397.13","1,354.14",52.1,86.4,5.8,0.45,89,0.768,0.838,0.727,2.4,73.1,4.5,15,338
Japan,"64,888.26","61,608.98",67,,,0.123,6,0.883,1,0.901,6.5,83.4,9.5,15,"24,961"
Jordan,"3,075.49","3,254.68",78.6,,,0.456,59,0.71,0.842,0.698,5.4,73.4,3.5,10,98
Kazakhstan,"8,422.24","7,784.51",58.8,99.7,,0.334,45,0.834,0.742,0.745,2.5,67,15.3,8,"3,320"
